establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
de ciencias tecnicas el redentor,barrio 3 de abril,san benito,Peten,"[""['17-03-0115-46', '17-03-0145-46']""]","['17-003', '17-003']","['privado', 'privado']","['urbana', 'urbana']","['deylin antonio alvarez aldana', 'deylin antonio alvarez aldana']","['miguel angel mejia flores', 'miguel angel mejia flores']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (un día a la semana)']""]",petén
de ciencias y tecnicas de computacion,0 calle 12-67 lavarreda,zona 18,Guatemala,['00-18-8898-46'],01-403,privado,urbana,carlos humberto gonzález de león,walter guillermo muralles lopez,['22584488'],['monolingue'],['doble'],['fin de semana'],guatemala norte
de ciencias y tecnicas de computacion,0 calle 12-67 ruta al atlantico,zona 18,Guatemala,['00-18-7237-46'],01-301,privado,urbana,lucrecia marisol cermeño gonzález,walter guillermo muralles lopez,['22584488'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
de ciencias y tecnicas de computacion,km. 5.5 ruta al atlantida,zona 18,Guatemala,['00-18-0240-46'],01-403,privado,urbana,carlos humberto gonzález de león,walter guillermo muralles lopez,['22584488'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala norte
de comercio,cabecera municipal,el chal,Peten,['17-14-0028-46'],17-013,privado,urbana,braulio amilcar chan tesucun,aracely gutierrez esquivel,['41878066'],['monolingue'],['vespertina'],['diario(regular)'],petén
de computacion ceipc,lote 14 manzana 61 colonia villas del quetzal ciudad quetzal,san juan sacatepequez,Guatemala,['01-10-0117-46'],01-636,privado,rural,mario alejandro najarro garcia salas,angélica marina arévalo cerón,['34022767'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
de computacion ceipc,lote 14 manzana 61 villas del quetzal,san juan sacatepequez,Guatemala,"[""['01-10-0279-46', '01-10-0292-46']""]","['01-639', '01-639']","['privado', 'privado']","['rural', 'rural']","['ludvin ricardo urrutia lorenti', 'ludvin ricardo urrutia lorenti']","['angélica marina arévalo cerón', 'angélica marina arévalo cerón']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'doble']""]","[""['semipresencial', 'semipresencial']""]",guatemala occidente
de computacion ceipc,lote 19 manzana a colonia linda vista i ciudad quetzal san juan sacatepequez,san juan sacatepequez,Guatemala,['01-10-0114-46'],01-636,privado,rural,mario alejandro najarro garcia salas,josé domingo pérez mesías,['66647624'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
de computacion ceipc,lote 19 manzana a linda vista i,san juan sacatepequez,Guatemala,"['01-10-9545-46', ""['01-10-0286-46', '01-10-0287-46']""]",01-410,privado,rural,cedwin eugenio cruz bucaro,josé luis vega guevara,['58662894'],"[""['monolingue', 'monolingue']"", 'monolingue']","[""['doble', 'doble']"", 'doble']","[""['semipresencial', 'semipresencial']"", 'fin de semana']",guatemala occidente
de computacion ceipc,lote 19 manzana a linda vista i ciudad quetzal san juan sacatepequez,san juan sacatepequez,Guatemala,"['01-10-0136-46', '01-10-8313-46']",01-636,privado,rural,mario alejandro najarro garcia salas,josé domingo pérez mesías,['66647624'],['monolingue'],"['doble', 'matutina']","['diario(regular)', 'fin de semana']",guatemala occidente
de computacion ciencia y tecnologia,2a. calle 1-27 z 2,ciudad vieja,Sacatepequez,"[""['03-12-0022-46', '03-12-0043-46', '03-12-0100-46']""]","['03-007', '03-007', '03-007']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['marlis berzabe reyes reyes', 'marlis berzabe reyes reyes', 'marlis berzabe reyes reyes']","['miguel alvaro rodriguez portillo', 'miguel alvaro rodriguez portillo', 'miguel alvaro rodriguez portillo']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'matutina', 'sin jornada']""]","[""['fin de semana', 'diario(regular)', 'semipresencial (fin de semana)']""]",sacatepéquez
de computacion css,calle marti 14-49,zona 6,Guatemala,"['00-06-0074-46', ""['00-06-0083-46', '00-06-3071-46', '00-06-9347-46', '00-06-9571-46']""]",01-102,privado,urbana,zizi arely lopez chinchilla,leonel ramiro alvarez carrera,['22882093'],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']"", 'monolingue']","[""['sin jornada', 'matutina', 'doble', 'doble']"", 'doble']","[""['semipresencial (fin de semana)', 'diario(regular)', 'fin de semana', 'diario(regular)']"", 'diario(regular)']",guatemala norte
de computacion css,calle marti 14-49 z 6,zona 6,Guatemala,['00-06-0038-46'],01-101,privado,urbana,maria estela marroquin chur de ortega,leonel ramiro alvarez carrera,['22882093'],['monolingue'],['vespertina'],['diario(regular)'],guatemala norte
de computacion css,calzada san juan 38-83,zona 7,Guatemala,['00-07-0092-46'],01-619,privado,urbana,juan waldemar cabrera mendez,sandra patricia raxón max,['24314311'],['monolingue'],['doble'],['diario(regular)'],guatemala occidente
de computacion css,calzada san juan 38-83 colonia el rodeo,zona 7,Guatemala,"['00-07-2977-46', '00-07-9406-46']",01-619,privado,urbana,juan waldemar cabrera mendez,sandra patricia raxón max,['24314311'],['monolingue'],"['doble', 'matutina']","['diario(regular)', 'fin de semana']",guatemala occidente
de computacion css,calzada san juan 38-83 colonia el rodeo z 7,zona 7,Guatemala,['00-07-0247-46'],01-602,privado,urbana,idalia del rosario lopez sandoval de paiz,sandra patricia raxón max,['24314311'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala occidente
de computacion css,calzada san juan 38-83 z 7 colonia el rodeo,zona 7,Guatemala,['00-07-0245-46'],01-619,privado,urbana,juan waldemar cabrera mendez,sandra patricia raxón max,['24314311'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
de computacion electronica y electricidad,15 calle a 12-37,zona 1,Guatemala,['00-01-7588-46'],01-317,privado,urbana,mariano domingo estrada teletor,verónica azucena conde castro,['22517616'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
de computacion informatica,13 av 6-188 z 2 residenciales la ceiba,coatepeque,Quetzaltenango,"[""['09-20-0033-46', '09-20-3796-46', '09-20-4055-46']""]","['09-030', '09-030', '09-030']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['david federico cifuentes hurtado', 'david federico cifuentes hurtado', 'david federico cifuentes hurtado']","['guilmar fernando rosales pérez', 'guilmar fernando rosales pérez', 'guilmar fernando rosales pérez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'matutina']""]","[""['diario(regular)', 'diario(regular)', 'diario(regular)']""]",quetzaltenango
de computacion informatica,5-112 calle principal a chipilapa,la gomera,Escuintla,['05-07-2537-46'],05-012,privado,urbana,brenda yohanna gudiel lopez de muñoz,dooshan luis valladares cordero,['56201692'],['monolingue'],['doble'],['fin de semana'],escuintla
de computacion informatica,caerio santa rita pachipa,san antonio suchitepequez,Suchitepequez,['10-10-0102-46'],10-026,privado,rural,maynor rene saquic espinoza,mynor fernando zapeta alonzo,['32394560'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],suchitepéquez
de computacion informatica,calle principal chipilipa 5-112,la gomera,Escuintla,['05-07-0040-46'],05-012,privado,urbana,brenda yohanna gudiel lopez de muñoz,dooshan luis valladares cordero,['78842102'],['monolingue'],['doble'],['fin de semana'],escuintla
de computacion informatica,caserio santa rita pachipa,san antonio suchitepequez,Suchitepequez,"[""['10-10-0086-46', '10-10-0087-46', '10-10-0088-46', '10-10-0100-46']""]","['10-026', '10-026', '10-026', '10-026']","['privado', 'privado', 'privado', 'privado']","['rural', 'rural', 'rural', 'rural']","['maynor rene saquic espinoza', 'maynor rene saquic espinoza', 'maynor rene saquic espinoza', 'maynor rene saquic espinoza']","['ezra fielding gonzález aragón', 'ezra fielding gonzález aragón', 'ezra fielding gonzález aragón', 'mynor fernando zapeta alonzo']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'vespertina', 'doble', 'doble']""]","[""['diario(regular)', 'diario(regular)', 'diario(regular)', 'fin de semana']""]",suchitepéquez
de computacion informatica,colonia san bartolome 4a. calle final,mazatenango,Suchitepequez,"[""['10-01-0098-46', '10-01-0313-46', '10-01-0409-46', '10-01-1171-46']""]","['10-019', '10-019', '10-019', '10-019']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco']","['josé maría rodríguez tomás', 'josé maría rodríguez tomás', 'lidia elizabeth jerez de león', 'josé maría rodríguez tomás']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'sin jornada', 'vespertina']""]","[""['diario(regular)', 'diario(regular)', 'semipresencial (un día a la semana)', 'diario(regular)']""]",suchitepéquez
de computacion informatica,colonia san bartolome 4ta. calle final,mazatenango,Suchitepequez,['10-01-0415-46'],10-019,privado,urbana,reyna del rosario chavez barrow de pacheco,lidia elizabeth jerez de león,['78721357'],['monolingue'],['doble'],['fin de semana'],suchitepéquez
de computacion informatica,kilometro 1.5 carretera a ciudad vieja,antigua guatemala,Sacatepequez,"[""['03-01-0257-46', '03-01-1293-46']""]","['03-002', '03-002']","['privado', 'privado']","['urbana', 'urbana']","['zoila esthela jonfe orozco', 'zoila esthela jonfe orozco']","['uber orlando marroquín juárez', 'uber orlando marroquín juárez']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['semipresencial (fin de semana)', 'fin de semana']""]",sacatepéquez
de computacion informatica,ruta 6 w 10a. av 0-50 z 4 residenciales ana lucia,retalhuleu,Retalhuleu,['11-01-1177-46'],11-004,privado,urbana,miguel angel armas rocha,irma violeta calderón villatoro,['77716271'],['monolingue'],['doble'],['diario(regular)'],retalhuleu
de computacion informatica,ruta 6w 10a. ave. 0-50 z 4 residenciales ana lucia,retalhuleu,Retalhuleu,['11-01-0435-46'],11-004,privado,urbana,miguel angel armas rocha,irma violeta calderón villatoro,['77716271'],['monolingue'],['matutina'],['diario(regular)'],retalhuleu
de computacion informatica del sur icis,lote 392 calle central,nueva concepcion,Escuintla,"[""['05-13-0076-46', '05-13-0077-46', '05-13-0081-46', '05-13-0103-46']""]","['05-019', '05-019', '05-019', '05-019']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['jaime antulio estrada soto', 'jaime antulio estrada soto', 'jaime antulio estrada soto', 'jaime antulio estrada soto']","['hugo neftalí rivas gonzález', 'hugo neftalí rivas gonzález', 'hugo neftalí rivas gonzález', 'hugo neftalí rivas gonzález']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'matutina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'semipresencial (dos días a la semana)']""]",escuintla
de computacion mixto guatemalteco,6a. av 3-05 z 4,sumpango,Sacatepequez,['03-04-1322-46'],03-004,privado,urbana,miriam veronica gil quisquinay,carmen cecilia mendoza garcía,['78331902'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
de computacion siglo 21,12 av 13-67,zona 1,Guatemala,"[""['00-01-0776-46', '00-01-9622-46']""]","['01-403', '01-403']","['privado', 'privado']","['urbana', 'urbana']","['carlos humberto gonzález de león', 'carlos humberto gonzález de león']","['jesús eduardo argueta escobedo', 'jesús eduardo argueta escobedo']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'matutina']""]","[""['semipresencial (fin de semana)', 'fin de semana']""]",guatemala norte
de computacion siglo 21,12. av. 13-67,zona 1,Guatemala,['00-01-9035-46'],01-316,privado,urbana,carlos humberto gonzalez de leon,jesús eduardo argueta escobedo,['22513852'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
de computacion siglo 21,13 calle 9-60,zona 1,Guatemala,"[""['00-01-0692-46', '00-01-0795-46', '00-01-0856-46']"", ""['00-01-7080-46', '00-01-7721-46']""]","['01-317', '01-403', '01-317']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['mariano domingo estrada teletor', 'carlos humberto gonzález de león', 'mariano domingo estrada teletor']","['jorge rolando morales paz', 'jorge rolando morales paz', 'jorge rolando morales paz']",[],"[""['monolingue', 'monolingue', 'monolingue']"", ""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada', 'matutina']"", ""['matutina', 'matutina']""]","[""['diario(regular)', 'fin de semana']"", ""['diario(regular)', 'semipresencial (fin de semana)', 'diario(regular)']""]",guatemala norte
de computacion siglo 21,1a. av y 1a. calle 0-04 z 1,san antonio suchitepequez,Suchitepequez,['10-10-0096-46'],10-026,privado,urbana,maynor rene saquic espinoza,evelin yohana hernández lopreto,['78705377'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],suchitepéquez
de computacion siglo 21,1a. calle 1a. av 0-04,san antonio suchitepequez,Suchitepequez,['10-10-0080-46'],10-026,privado,urbana,maynor rene saquic espinoza,evelin yohana hernández lopreto,['78705377'],['monolingue'],['doble'],['fin de semana'],suchitepéquez
de computacion siglo 21,1a. calle y 1a. av 0-04,san antonio suchitepequez,Suchitepequez,"[""['10-10-0050-46', '10-10-2491-46']""]","['10-026', '10-026']","['privado', 'privado']","['urbana', 'urbana']","['maynor rene saquic espinoza', 'maynor rene saquic espinoza']","['evelin yohana hernández lopreto', 'evelin yohana hernández lopreto']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",suchitepéquez
de comunicaciones y electronica del ejercito de guatemala,21 calle 9-40 colonia aurora ii,zona 13,Guatemala,['00-13-7902-46'],01-501,oficial,urbana,julio jacobo gil urbina,herlinda damaris ramos gutiérrez,['56943703'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
de desarrollo humano tecnologico asociacion grupo ceiba,colonia san agustin aldea santo tomas de castilla,puerto barrios,Izabal,['18-01-0402-46'],18-009,privado,rural,ana maribel castillo diaz,maria del carmen urizar catalan,['41310547'],['monolingue'],['doble'],['fin de semana'],izabal
de edcacion extraescolarceex,nuevo progreso,nuevo progreso,San Marcos,['12-12-0095-46'],12-109,privado,urbana,violeta floridalma fuentes quiroa,roxana celeste lópez sánchez,['57090776'],['monolingue'],['doble'],['semipresencial'],san marcos
de edcacion extraescolarceex,san miguel ixtahuacan,san miguel ixtahuacan,San Marcos,['12-05-0101-46'],12-109,privado,urbana,violeta floridalma fuentes quiroa,angela dilma ajpop paz,['57243796'],['monolingue'],['doble'],['semipresencial'],san marcos
de edcacion extraescolarceex,sipacapa,sipacapa,San Marcos,['12-26-0073-46'],12-109,privado,urbana,violeta floridalma fuentes quiroa,armando leonel ambrocio crúz,['51602894'],['monolingue'],['doble'],['semipresencial'],san marcos
de edcacion extraescolarceex,tajumulco,tajumulco,San Marcos,['12-09-0165-46'],12-109,privado,rural,violeta floridalma fuentes quiroa,emerson maudiel barrera maldonado,['41122936'],['monolingue'],['doble'],['semipresencial'],san marcos
de educacio9n basica y bachillerato por madurrez camino a la libertad,de detencion departamental,flores,Peten,['17-01-0167-46'],17-001,oficial,rural,rodolfo medina,david otoniel garcia polanco,['49663881'],['monolingue'],['vespertina'],['diario(regular)'],petén
de educacion  por cooperativa,aldea sacpuy,san andres,Peten,['17-04-0002-46'],17-004,cooperativa,rural,carlos manuel tesucun quetzal,noe aroldo quixchan morales,['40080043'],['monolingue'],['vespertina'],['diario(regular)'],petén
de educacion  por cooperativa de ensenanza el fiscal,av principal aldea el fiscal,palencia,Guatemala,['01-05-0012-46'],01-108,cooperativa,rural,pedro adolfo lucero rosales,frankly natanael fuentes ramírez,['22557300'],['monolingue'],['vespertina'],['diario(regular)'],guatemala norte
de educacion  por cooperativa san jose,barrio san jose,genova costa cuca,Quetzaltenango,['09-21-0069-46'],09-042,cooperativa,rural,elsy grees lopez gomez,edilma azucena lorenzo pérez,['36478120'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
de educacion a distancia itzamna,5a. calle 11-20 z 1,zacapa,Zacapa,['19-01-0942-46'],19-019,privado,urbana,hugo wilfredo vargas chacon,aída consuelo chacón marín,['58765309'],['monolingue'],['doble'],['fin de semana'],zacapa
